Sejarah Indonesia Kelas X Edisi Revisi 2016,Text,"Cetakan Ke-3, 2016",978-602-282-496-1,Pusat Kurikulum dan Perbukuan,2016,Sejarah,,,Indonesia,jakarta,NONE,,,,<Amurwani Dwi Lestariningsih><Restu Gunawan><Sardiman>,,<15614><15615><15616><15617><15618><15619><15620><15621><15622><15623><15624><15625><15626><15627><15628><15629><15630><15631><15632><15633><15634><15635><15636><15637><15638><15639><15640><15641><15642><15643><15644><15645><15646><15647><15648><15649><15650><15651><15652><15653><15654><15655><15656><15657><15658><15659><15660><15661><15662><15663><15664><15665><15666><15667><15668><15669><15670><15671><15672><15673><15674><15675><15676><15677><15678><15679><15680><15681><15682><15683><15684><15685><15686><15687><15688><15689><15690><15691><15692><15693><15694><15695><15696><15697><15698><15699><15700><15701><15702><15703><15704><15705><15706><15707><15708><15709><15710><15711><15712><15713><15714><15715><15716><15717><15718><15719><15720><15721><15722><15723><15724><15725><15726><15727><15728><15729><15730><15731><15732><15733><15734><15735><15736><15737><15738><15739><15740><15741><15742><15743>
Be Smart In English 1 Kelas X,Text,EDISI REVISI,978-979-040-417-5,PT Wangsa Jatra Lestari,2016,Bahasa Inggris,,,Indonesia,Solo,NONE,,,,<Ira Wijayanti><Nitya Jwalita><Kristin Ambarwati><Mariyana>,,<15437><15438><15439><15440><15441><15442><15443><15444><15445><15446><15447><15448><15449><15450><15451><15452><15453><15454><15455><15456><15457><15458><15459><15460><15461><15462><15463><15464><15465><15466><15467><15468><15469><15470><15471><15472><15473><15474><15475><15476><15477><15478><15479><15480><15481><15482><15483><15484><15485><15486><15487><15488><15489><15490><15491><15492><15493><15494><15495><15496><15497><15498><15499><15500><15501><15502><15503><15504><15505><15506><15507><15508><15509><15510><15511><15512><15513><15514><15515><15516><15517><15518><15519><15520><15521><15522><15523><15524><15525><15526><15527><15528><15529><15530><15531><15532><15533><15534><15535><15536><15537><15538><15539><15540><15541><15542><15543><15544><15545><15546><15547><15548><15549><15550><15551><15552><15553><15554><15555><15556><15557><15558><15559><15560><15561><15562><15563><15564><15565><15566><15567><15568><15569><15570><15571><15572><15573><15574><15575><15576><15577><15578><15579><15580><15581><15582><15583><15584><15585><15586><15587><15588><15589><15590><15591><15592><15593><15594><15595><15596><15597><15598><15599><15600><15601><15602><15603><15604><15605><15606><15607><15608><15609><15610><15611><15612><15613>
Ekonomi 1 Peminatan Kelas X,Text,EDISI REVISI,978-979-040-393-2,PT Wangsa Jatra Lestari,2016,Ekonomi,,,Indonesia,Solo,NONE,,,,<Sutarno><Sunarto><Sudarno>,,<15275><15276><15277><15278><15279><15280><15281><15282><15283><15284><15285><15286><15287><15288><15289><15290><15291><15292><15293><15294><15295><15296><15297><15298><15299><15300><15301><15302><15303><15304><15305><15306><15307><15308><15309><15310><15311><15312><15313><15314><15315><15316><15317><15318><15319><15320><15321><15322><15323><15324><15325><15326><15327><15328><15329><15330><15331><15332><15333><15334><15335><15336><15337><15338><15339><15340><15341><15342><15343><15344><15345><15346><15347><15348><15349><15350><15351><15352><15353><15354><15355><15356><15357><15358><15359><15360><15361><15362><15363><15364><15365><15366><15367><15368><15369><15370><15371><15372><15373><15374><15375><15376><15377><15378><15379><15380><15381><15382><15383><15384><15385><15386><15387><15388><15389><15390><15391><15392><15393><15394><15395><15396><15398><15399><15400><15401><15402><15403><15404><15405><15406><15407><15408><15409><15410><15411><15412><15413><15414><15415><15416><15417><15418><15419><15420><15421><15422><15423><15424><15425><15426><15427><15428><15429><15430><15431><15432><15433><15434><15435><15436>
Geografi 1 Peminatan Kelas X,Text,,978-979-040-305-5,PT Wangsa Jatra Lestari,2016,Geografi,,,Indonesia,Solo,NONE,,,,<Bambang Nianto Mulyo><Purwadi Suhandini>,,<15133><15134><15135><15136><15137><15138><15139><15140><15141><15142><15143><15144><15145><15146><15147><15148><15149><15150><15151><15152><15153><15154><15155><15156><15157><15158><15159><15160><15161><15162><15163><15164><15165><15166><15167><15168><15169><15170><15171><15172><15173><15174><15175><15176><15177><15178><15179><15180><15181><15182><15183><15184><15185><15186><15187><15188><15189><15190><15191><15192><15193><15194><15195><15196><15197><15198><15199><15200><15201><15202><15203><15204><15205><15206><15207><15208><15209><15210><15211><15212><15213><15214><15215><15216><15217><15218><15219><15220><15221><15222><15223><15224><15225><15226><15227><15228><15229><15230><15231><15232><15233><15234><15235><15236><15237><15238><15239><15240><15241><15242><15243><15244><15245><15246><15247><15248><15249><15250><15251><15252><15253><15254><15255><15256><15257><15258><15259><15260><15261><15262><15263><15264><15265><15266><15267><15268><15269><15270><15271><15272><15273><15274>
Fisika 1 Peminatan Kelas X,Text,,978-979-040-213-3,PT Wangsa Jatra Lestari,2016,Fisika,,,Indonesia,Solo,NONE,,,,<Budi Purwanto><Muchammad Azam>,,<15054><15055><15056><15057><15058><15059><15060><15061><15062><15063><15064><15065><15066><15067><15068><15069><15070><15071><15072><15073><15074><15075><15076><15077><15078><15079><15080><15081><15082><15083><15084><15085><15086><15087><15088><15089><15090><15091><15092><15093><15094><15095><15096><15097><15098><15099><15100><15101><15102><15103><15104><15105><15106><15107><15108><15109><15110><15111><15112><15113><15114><15115><15116><15117><15118><15119><15120><15121><15122><15123><15124><15125><15126><15127><15128><15129><15130><15131><15132>
Matematika Kelas X,Text,"Cetakan Ke-4, 2017",978-602-427-114-5,Pusat Kurikulum dan Perbukuan,2017,Matematika,,,Indonesia,jakarta,NONE,,,,<Sudianto Manullang><Tri Andri Hutapea><Lasker Pangarapan Sinaga><Bornok Sinaga><Andi Kristianto S><Mangaratua  Marianus S><Pardomuan N.J.M. Sinambela>,,<14980><14981><14982><14983><14984><14985><14986><14987><14988><14989><14990><14991><14992><14993><14994><14995><14996><14997><14998><14999><15000><15001><15002><15003><15004><15005><15006><15007><15008><15009><15010><15011><15012><15013><15014><15015><15016><15017><15018><15019><15020><15021><15022><15023><15024><15025><15026><15027><15028><15029><15030><15031><15032><15033><15034><15035><15036><15037><15038><15039><15040><15041><15042><15043><15044><15045><15046><15047><15048><15049><15050><15051><15052><15053>
Matematika Kelas X,Text,Edisi Revisi 2016,978-602-427-114-5,Pusat Kurikulum dan Perbukuan,2016,Matematika,,,Indonesia,,NONE,,,,<Sudianto Manullang><Andri Kristianto S.><Tri Andri Hutapea><Lasker Pangarapan Sinaga><Bornok Sinaga><Pardomuan N.J.M. Sinambela><Mangara Simanjorang>,,<14736><14737><14738><14739><14740><14741><14742><14743><14744><14745><14746><14747><14748><14749><14750><14751><14752><14753><14754><14755><14756><14757><14758><14759><14760><14761><14762><14763><14764><14765><14766><14767><14768><14769><14770><14771><14772><14773><14774><14775><14776><14778><14779><14780><14781><14782><14783><14784><14785><14786><14787><14788><14789><14790><14791><14792><14793><14794><14795><14796><14797><14798><14799><14800><14801><14802><14803><14804><14805><14806><14807><14808><14809><14810><14811><14812><14813><14814><14815><14816><14817><14818><14819><14820><14821><14822><14823><14824><14825><14826><14827><14828><14829><14830><14831><14832><14833><14834><14836><14837><14838><14839><14840><14841><14842><14843><14844><14845><14846><14847><14848><14849><14850><14851><14852><14853><14854><14855><14856><14857><14858><14859><14860><14861><14862><14863><14864><14865><14866><14867><14868><14869><14870><14871><14872><14873><14874><14875><14876><14877><14878><14879><14880><14881><14882><14883><14884><14885><14886><14887><14888><14889><14890><14891><14892><14893><14894><14895><14896><14897><14898><14899><14900><14901><14902><14903><14904><14905><14906><14907><14908><14909><14910><14911><14912><14913><14914><14915><14916><14917><14918><14919><14920><14921><14922><14924><14925><14926><14927><14928><14929><14930><14931><14932><14933><14934><14935><14936><14937><14938><14939><14940><14941><14942><14943><14944><14945><14946><14947><14948><14949><14950><14951><14952><14953><14954><14955><14956><14957><14958><14959><14960><14961><14962><14963><14964><14965><14966><14967><14968><14969><14970><14971><14972><14973><14974><14975><14976><14977><14978><14979>
Kimia 3 Kelas XII (Buku Guru),Text,EDISI REVISI,978-602-257-412-5,PT Tiga Serangkai Pustaka Mandiri,2016,Buku Guru,,,Indonesia,Solo,NONE,,,,<Ispriyanto><Sentot Budi Raharjo>,,<11026><11027><11028>
Matematika Kelas XI,Text,"Cetakan Ke-2, 2017",978-602-427-118-3,Pusat Kurikulum dan Perbukuan,2017,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Sudianto Manullang><Tri Andri Hutapea><Lasker Pangarapan Sinaga><Bornok Sinaga><Andi Kristianto S><Mangaratua  Marianus S><Pardomuan N.J.M. Sinambela>,,<11120>
Bahasa Indonesia Kelas XI,Text,"Cetakan Ke-2, 2017",978-602-427-102-2,Pusat Kurikulum dan Perbukuan,2017,,,,Indonesia,,NONE,,,,<Maman Suryaman><Suherli><Istiqomah><Aji Septiaji>,,<11107><11108><11109>
Pendidikan Pancasila dan Kewarganegaraan Kelas X,Text,"Cetakan Ke-3, 2017",978-602-427-090-2,Pusat Kurikulum dan Perbukuan,2017,Pendidikan Pancasila dan Kewarganegaraan,,,Indonesia,jakarta,NONE,,,,<Tolib><Nuryadi>,,<13588><13589><13590><13591><13592><13593><13594><13595><13596><13597><13598><13599><13600><13601><13602><13603><13604><13605><13606><13607><13608><13609><13610><13611><13612><13613><13614><13615><13616><13617><13618><13619><13620><13621><13622><13623><13624><13625><13626><13627><13628><13629><13630><13631><13632><13633><13634><13635><13636><13637><13638><13639><13640><13641><13642><13643><13645><13646><13647><13648><13649><13650><13651><13652><13653><13654><13655><13656><13657><13658><13659><13660><13661><13662><13663><13664><13665><13666><13667><13668><13669><13670><13671><13672><13673><13674><13675><13676><13677><13678><13679><13680><13681><13682><13683><13684><13685><13686><13687><13688><13689><13690><13691><13692><13693><13694><13695><13696><13697><13698><13699><13700><13701><13702><13703><13704><13705><13706><13707><13708><13709><13710><13711><13712><13713><13714><13715><13716><13717><13718><13719><13720><13721><13722><13723><13724><13725><13726><13727><13728><13729><13730><13731><13732><13733><13734><13735><13736><13737><13738><13739><13740><13741><13742><13743><13744><13745><13746><13747><13748><13749><13750><13751><13752><13753><13754><13755><13756><13757><13758><13759><13760><13761><13762><13763><13764><13765><13766><13767><13768><13769><13770><13771><13772><13773><13774><13775><13776><13777><13778><13779><13780><13781><13782><13783><13784><13785><13786><13787><13788><13789><13790><13791><13792><13793><13794><13795><13796><13797><13798><13799><13800><13801><13802><13803><13804><13805><13806><13807><13808><13809><13810><13811><13812><13813><13814><13815><13816><13817><13818><13819><13820><13821><13822><13823><13824><13825><13826><13827><13828><13829><13830><13831><13832><13833><13834><13835><13836><13837><13838><13839><13840><13841><13842><13843><13844><13845><13846><13847><13848><13849><13850><13851><13852><13853><13854><13855><13856><13857><13858><13859><13860><13861><13862><13863><13864><13865><13866><13867><13868><13869><13870><13871><13872><13873><13874><13875><13876><13877><13878><13879><13644>
Matematika Kelas X,Text,EDISI REVISI 2017,978-602-427-118-3,Pusat Kurikulum dan Perbukuan,2017,Buku Guru,,,Indonesia,jakarta,NONE,,,,<Sudianto Manullang><Andri Kristianto S.><Tri Andri Hutapea><Lasker Pangarapan Sinaga><Bornok Sinaga><Mangaratua  Marianus S><Pardomuan N.J.M. Sinambela>,,<14685><14686><14687>
"Pendidikan Jasmani, Olahraga, dan Kesehatan Kelas X",Text,"Cetakan Ke-2, 2016",978-602-427-130-5,Pusat Kurikulum dan Perbukuan,2016,"Pendidikan Jasmani, Olahraga, dan Kesehatan",,,Indonesia,jakarta,NONE,,,,<Sudrajat Wiradihardja><Syarifudin>,,<13884><13885><13886><13887><13888><13889><13890><13891><13892><13893><13894><13895><13896><13897><13898><13899><13900><13901><13902><13903><13904><13905><13906><13907><13908><13909><13910><13911><13912><13913><13914><13915><13916><13917><13918><13919><13920><13921><13922><13923><13924><13925><13926><13927><13928><13929><13930><13931><13932><13933><13934><13935><13936><13937><13938><13939><13940><13941><13942><13943><13944><13945><13946><13947><13948><13949><13950><13951><13952><13953><13954><13955><13956><13957><13958><13959><13960><13961><13962><13963><13964><13965><13966><13967><13968><13969><13970><13971><13972><13973><13974><13975><13976><13977><13978><13979><13980><13981><13982><13983><13984><13985><13986><13987><13988><13989><13990><13991><13992><13993><13994><13995><13997><13996><13998><13999><14000><14001><14002><14003><14004><14005><14006><14007><14008><14009><14010><14011><14012><14013><14014><14015><14016><14017><14018><14019><14020><14021><14022><14023><14024><14025><14026>
Pendidikan Agama Islam dan Budi Pekerti Kelas X,Text,"Cetakan Ke-2, 2016",978-602-427-042-1,Pusat Kurikulum dan Perbukuan,2016,Agama,,,Indonesia,jakarta,NONE,,,,<Nelty Khairiyah><Endi Suhendi Zen>,,<11262><11263><11264><11265><11266><11267><11268><11269><11270><11271><11272><11273><11274><11275><11276><11277><11278><11279><11280><11281><11282><11283><11284><11285><11286><11287><11288><11289><11290><11291><11292><11293><11294><11295><11296><11297><11298><11299><13000><13001><13002><13003><13004><13005><13006><13007><13008><13009><13010><13011><13012><13013><13014><13015><13016><13017><13018><13019><13020><13021><13022><13023><13024><13025><13026><13027><13028><13029><13030><13031><13032><13033><13034><13035><13036><13037><13038><13039><13040><13041><13042><13043><13044><13045><13046><13047><13048><13049><13050><13051><13052><13053><13054><13055><13056><13057><13058><13059><13060><13061><13062><13063><13064><13065><13066><13067><13068><13069><13070><13071><13072><13073><13074><13075><13076><13077><13078><13079><13080><13081><13082><13083><13084><13085><13086><13087><13088><13089><13090><13091><13092><13093><13094><13095><13096><13097><13098><13099><13100><13101><13102><13103><13104><13105><13106><13107><13108><13109><13110><13111><13112><13113><13114><13115><13116><13117><13118><13119><13120><13121><13122><13123><13124><13125><13126><13127><13128><13129><13130><13131><13132><13133><13134><13135><13136><13137><13138><13139><13141><13142><13143><13144><13145><13146><13147><13148><13149><13150><13151><13152><13153><13140>
Bahasa Indonesia Kelas X,Text,"Cetakan Ke-3, 2016",978-602-427-098-8,Pusat Kurikulum dan Perbukuan,2016,Bahasa Indonesia,,,Indonesia,jakarta,NONE,,,,<Maman Suryaman><Suherli><Istiqomah><Aji Septiaji>,,<11143><11144><11145><11146><11147><11148><11149><11150><11151><11152><11153><11154><11155><11156><11157><11158><11159><11160><11161><11162><11163><11164><11165><11166><11167><11168><11169><11170><11171><11172><11173><11174><11175><11176><11177><11178><11179><11180><11181><11182><11183><11184><11185><11186><11187><11188><11189><11190><11191><11192><11193><11194><11195><11196><11197><11198><11199><11200><11201><11202><11203><11204><11205><11206><11207><11208><11209><11210><11211><11212><11213><11214><11215><11216><11217><11218><11219><11220><11221><11222><11223><11224><11225><11226><11227><11228><11229><11230><11231><11232><11233><11234><11235><11236><11237><11238><11239><11240><11241><11242><11243><11244><11245><11246><11247><11248><11249><11250><11251><11252><11253><11254><11255><11256><11257><11258><11259><11260><11261>
