"Kura-Kura dan Penyu","Text","","978-330691-2","PT. Tiga Serangkai Pustaka Mandiri","2007","Biologi","","","Indonesia","Solo","NONE","","","","<Sally Morgan>","","<30806><32039>"
"Tumbuhan Hijau","Text","","978-979-018-989-8","PT. Tiga Serangkai Pustaka Mandiri","2008","Biologi","","","","Solo","NONE","","","","<Denise Walker>","","<32038>"
"Reproduksi, Pernapasan, dan Kesehatan","Text","","978-979-045-079-0","PT. Tiga Serangkai Pustaka Mandiri","2008","Biologi","","","","Solo","NONE","","","","<Denise Walker>","","<32037>"
"Cahaya dan Warna","Text","","978-979-045-083-7","PT. Tiga Serangkai Pustaka Mandiri","2008","Fisika","","","","Solo","NONE","","","","<Gerard Cheshire>","","<32036>"
"Seri Ekologi Padang Rumput","Text","","979-514-176-7","PT. Remaja Rosdakarya","1992","Umum","","","","Bandung","NONE","","","","<Casey Horton>","","<32033>"
"Tanya Jawab Ensiklopedia Sejarah Dunia","Text","","979-534-266-5","Miles Kelly Publishing","2005","Umum","","","","Bandung","NONE","","","","<Brian Williams>","","<32031><32032>"
"Seri Pustaka sains Bagaimana Benda Bekerja","Text","","979-534-246-0","Miles Kelly Publishing","2005","Umum","","","","Bandung","NONE","","","","<John Farndon>","","<32028>"
"90 Permainan Anak-anak","Text","","978-979-018-995-9","PT. Tiga Serangkai Pustaka Mandiri","2008","Umum","","","","Solo","NONE","","","","","","<32026>"
"Peta Harta","Text","","979-33-0071-X","PT. Tiga Serangkai Pustaka Mandiri","2005","Umum","","","","Solo","NONE","","","","<Indah Widiastuti>","","<32022>"
"Bangsa Bahari","Text","","602-8227-44-5","PT Intan Sejati","2009","Umum","","","","Solo","NONE","","","","<Dr. Adhyaksa Dault, M.Si>","","<32021>"
"Coloring Book Nusantara For adult Bangka Belitung, Lampung, Maluku, Riau Kepri, Nusa Tenggara, Papua, Sulawesi Edition","Text","","978-602-73831-7-1","PT. Tiga Serangkai Pustaka Mandiri","2016","Umum","","","","Solo","NONE","","","","<Gersom>","","<32019><32020>"
"Coloring Book Nusantara For adult Aceh, Bali, Banten, Bengkulu, Jambi, Gorontalo, Kalimantan","Text","","978-602-73871-5-7","PT. Tiga Serangkai Pustaka Mandiri","2016","Umum","","","Indonesia","Solo","NONE","","","","<Mujix>","","<32005><32006><32018>"
"Chefpreneur Junior Serunya Menghasilkan Uang dari dapur","Text","","978-979-045-791-1","Tiga Ananda Creative Imprint of Tiga Serangkai","2014","Umum","","","","Solo","NONE","","","","<Debby Lukito Goeyardi><Patricia Cornelia Fei Goeyardi><Vanessa Monica Fei Goeyardi>","","<32012><32016><32017>"
"Chaftpreneur Junior Serunya Menghasilkan Uang dari Kerajiann Tangan","Text","","978-979-045-792-8","Tiga Ananda Creative Imprint of Tiga Serangkai","2014","Umum","","","","Solo","NONE","","","","<Debby Lukito Goeyardi><Patricia Cornelia Fei Goeyardi><Vanessa Monica Fei Goeyardi>","","<32013><32014><32015>"
"Majelis Permusyawaratan Rakyat Republik Indonesia","Text","","","","","Umum","","","","","NONE","","","","<Sekretariat jenderal MPR RI>","","<32011>"
"Alam Semesta","Text","","979-758-268-X","PT Grafindo Media Pratama","2006","Biologi","","","","Jakarta Timur","NONE","","","","<s. Rositawaty>","","<32010>"
"Keanekaragaman Kekayaan Laut dan Samudra Kita","Text","","978-979-662-478-2","PT Cempaka Putih","2011","Umum","","","","Klaten","NONE","","","","<Nunung Yuli Eti>","","<32009>"
"Seni Budaya Kelas XI (Buku Guru)","Text","EDISI REVISI 2017","978-602-427-149-7","Pusat Kurikulum dan Perbukuan","2017","Buku Guru","","","Indonesia","","NONE","","","","<M. Yoesoef><Bintang Hanggoro Putra><Eko Santoso><Nur Sahid><Rita Milyartini><Dinny Devi Triana><Djohan><Muksin><Widia Pekerti>","","<11015><11016><11017><11018><11019>"
"Kimia Berbasis Eksperimen Kelas XI (Peminatan)","Text","EDISI REVISI","978-602-257-396-8","PT Tiga Serangkai Pustaka Mandiri","2016","Kimia","","","Indonesia","Solo","NONE","","","","<Sentot Budi Rahardjo><Ispriyanto>","","<26572><26573><26574><26575><26576><26577><26578><26579><26580><26581><26582><26583><26584><26585><26586><26587><26588><26589><26590><26591><26592><26593><26594><26595><26596><26597><26598><26599><26600><26601><26602><26603><26604><26605><26606><26607><26608><26609><26610><26611><26612><26613><26614><26615><26616><26617><26618><26619><26620><26621><26622><26623><26624><26625><26626><26627><26628><26629><26630><26631><26632><26633><26634><26635><26636><26637><26638><26639><26640><26641><26642><26643><26644><26645><26646><26647><26648><26649><26650><26651><26652><26653><26654><26655><26656><26657><26658><26659><26660><26661><26662><26663><26664><26665><26666><26667><26668><26669><26670><26671><26672><26673><26674><26675><26676><26677><26678><26679><26680><26681><26682><26683><26684><26685><26686><26687><26688><26689><26690><26691><26692><26693><26694><26695><26696><26697><26698><26699><26700>"
"Matematika Erlangga Kelas X Semester 1 K-13","Text","KURIKULUM 2013","978-602-241-513-8","Penerbit Erlangga","2013","Matematika","","","Indonesia","jakarta","NONE","","","","<Drs. Sukino, M.Sc.>","","<27729><27730><27731><27732><27733><27734><27735><27736><27737><27738><27739><27740><27741><27742><27743><27744><27745><27746><27747><27748><27749><27750><27751><27752><27753><27754><27755><27756><27757><27758><27759><27760><27761><27762><27763><27764><27765><27766><27767><27768><27769><27770><27771><27772><27773><27774><27775><27776><27777><27778>"
"Menjelajah Dunia Biologi Platinum Kelas XI KTSP","Text","KTSP","978-979-084-062-1","PT Tiga Serangkai Pustaka Mandiri","2012","Biologi","","","Indonesia","Solo","NONE","","","","<Sri Pujiyanto>","","<27966><27967><27968>"
"Ekonomi Platinum Kelas XII KTSP","Text","KTSP","978-979-084-075-1","PT Tiga Serangkai Pustaka Mandiri","2012","Ekonomi","","","Indonesia","Semarang","NONE","","","","<Rusdarti><Kusmuriyanto>","","<27969><27970><27971>"
"Sejarah Platinum Kelas XII KTSP","Text","KTSP","978-979-084-083-6","PT Tiga Serangkai Pustaka Mandiri","2012","Sejarah Indonesia","","","Indonesia","Surakarta","NONE","","","","<Herimanto>","","<27964><27965>"
"Contextual English Platinum Kelas XII KTSP","Text","KTSP","978-979-084-053-9","PT Tiga Serangkai Pustaka Mandiri","2012","Bahasa Inggris","","","Indonesia","Solo","NONE","","","","<Bambang Sugeng><Noor Zaimah>","","<27961><27962><27963>"
"Mengkaji Ilmu Geografi Platinum Kelas XI KTSP","Text","KTSP","978-979-084-078-2","PT Tiga Serangkai Pustaka Mandiri","2012","Geografi","","","Indonesia","Solo","NONE","","","","<Sugiyanto><Danang Endarto>","","<27958><27959><27960>"
"Mengkaji Ilmu Geografi Platinum Kelas XII KTSP","Text","KTSP","978-979-084-079-9","PT Tiga Serangkai Pustaka Mandiri","2012","Geografi","","","Indonesia","Solo","NONE","","","","<Sugiyanto><Danang Endarto>","","<27956><27957>"
"Bahasa Indonesiaku Bahasa Negeriku Platinum Kelas XII KTSP","Text","KTSP","978-979-084-047-8","PT Tiga Serangkai Pustaka Mandiri","2012","Bahasa Indonesia","","","Indonesia","Solo","NONE","","","","<Atep Tatang><Nenden Lilis Aisyah><Maman><Euis Susilawati>","","<27951><27952><27953><27954><27955>"
"Contextual English Platinum Kelas Xi KTSP","Text","KTSP","978-979-084-052-2","PT Tiga Serangkai Pustaka Mandiri","2012","Bahasa Inggris","","","Indonesia","Solo","NONE","","","","<Bambang Sugeng><Noor Zaimah>","","<27947><27948><27949><27950>"
"Perspektif Matematika Program Ilmu Ips & Bahasa Platinum Kelas XI KTSP","Text","KTSP","978-979-084-058-4","Penerbit Erlangga","2012","Matematika","","","Indonesia","Solo","NONE","","","","","","<27943><27944><27945><27946>"
"Perspektif Matematika Ips/Bahasa Platinum Kelas XI","Text","KTSP","978-979-018-719-1","PT Tiga Serangkai Pustaka Mandiri","2008","Matematika","","","Indonesia","Solo","NONE","","","","<Indriyastuti><Rosihan Ari Y.>","","<27214><27215>"
"Perspektif Matematika Platinum Kelas XII KTSP","Text","KTSP","978-979-084-057-7","PT  Tiga Serangkai Pustaka Mandiri","2012","Matematika","","","Indonesia","Solo","NONE","","","","<Indriyastuti><Rosihan Ari Y.>","","<27937><27938><27939><27940><27941><27942>"
"Biologi Erlangga Kelas XII (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-471-1","Penerbit Erlangga","2015","Biologi","","","Indonesia","jakarta","NONE","","","","<Dra. Irnaningtyas, M.Pd.>","","<27930><27931><27932><27933><27934><27935><27936>"
"Biologi Erlangga Kelas XI (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-943-3","Penerbit Erlangga","2015","Biologi","","","Indonesia","jakarta","NONE","","","","<Dra. D.A. Pratiwi, M.Pd.><Dra. Sri Maryati, M.Pd><Dra. Srikini><Drs. Suharno, M.Pd><Drs. Bambang Suseno, M.Pd>","","<27926><27927><27928><27929>"
"Biologi Erlangga Kelas X (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-942-6","Penerbit Erlangga","2014","Biologi","","","Indonesia","jakarta","NONE","","","","<Dra. D.A. Pratiwi, M.Pd.><Dra. Sri Maryati, M.Pd><Dra. Srikini><Drs. Suharno, M.Pd><Drs. Bambang Suseno, M.Pd>","","<27912><27913><27914><27915><27916><27917><27918><27919><27920><27921><27922><27923><27924><27925>"
"Sejarah Erlangga Kelas XI (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-706-4","Penerbit Erlangga","2014","Sejarah Indonesia","","","Indonesia","jakarta","NONE","","","","<Ratna Hapsari><M. Adil>","","<27908><27909><27910><27911>"
"Sejarah Erlangga Kelas X (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-705-7","Penerbit Erlangga","2014","Sejarah Indonesia","","","Indonesia","jakarta","NONE","","","","<M. Adil><Rama Hapsari>","","<27894><27895><27896><27897><27898><27899><27900><27901><27902><27903><27904><27905><27906><27907>"
"Ekonomi Erlangga Kelas X (Peminatan) K-13","Text","KURIKULUM 2013","978-602-298-137-4","Penerbit Erlangga","2013","Ekonomi","","","Indonesia","jakarta","NONE","","","","<Alam><Rudianto>","","<27878><27879><27880><27881><27882><27883><27884><27885><27886><27887><27888><27889><27890><27891><27892><27893>"
"Sosiologi Erlangga Kelas X (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-880-1","Penerbit Erlangga","2014","Sosiologi","","","Indonesia","jakarta","NONE","","","","<Idianto Muin>","","<27864><27865><27866><27867><27868><27869><27870><27871><27872><27873><27874><27875><27876><27877>"
"Sosiologi Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-533-6","Penerbit Erlangga","2013","Sosiologi","","","Indonesia","jakarta","NONE","","","","<Idianto Muin>","","<27834><27835><27836><27837><27838><27839><27840><27841><27842><27843><27844><27845><27846><27847><27848><27849><27850><27851><27852><27853><27854><27855><27856><27857><27858><27859><27860><27861><27862><27863>"
"Cerdas Berbahasa Dan Bersastra Indonesia Erlangga Kelas X (Peminatan) K-13","Text","KURIKULUM 2013","978-602-298-015-5","Penerbit Erlangga","2014","Bahasa Indonesia","","","Indonesia","jakarta","NONE","","","","<Engkos Kosasih>","","<27816><27817><27818><27819><27820><27821><27822><27823><27824><27825><27826><27827><27828><27829><27830><27831><27832><27833>"
"Cerdas Berbahasa Indonesia Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-457-5","Penerbit Erlangga","2013","Bahasa Indonesia","","","Indonesia","jakarta","NONE","","","","<Engkos Kosasih>","","<27779><27780><27781><27782><27783><27784><27785><27786><27787><27788><27789><27790><27791><27792><27793><27794><27795><27796><27797><27798><27799><27800><27801><27802><27803><27804><27805><27806><27807><27808><27809><27810><27811><27812><27813><27814><27815>"
"Matematika Erlangga Kelas XII (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-915-0","Penerbit Erlangga","2015","Matematika","","","Indonesia","jakarta","NONE","","","","<Sukino, M.Sc.>","","<27708><27709><27710><27711><27712><27713><27714><27715><27716><27717><27718><27719><27720><27721><27722><27723><27724><27725><27726><27727><27728>"
"Matematika Erlangga Kelas XI (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-914-3","Penerbit Erlangga","2014","Matematika","","","Indonesia","jakarta","NONE","","","","<Sukino, M.Sc.>","","<27698><27699><27700><27701><27702><27703><27704><27705><27706><27707>"
"Matematika Erlangga Kelas X (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-913-6","Penerbit Erlangga","2014","Matematika","","","Indonesia","jakarta","NONE","","","","<Sukino, M.Sc.>","","<27682><27683><27684><27685><27686><27687><27688><27689><27690><27691><27692><27693><27694><27695><27696><27697>"
"Kimia Erlangga Kelas XII (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-475-9","Penerbit Erlangga","2015","Kimia","","","Indonesia","jakarta","NONE","","","","<Drs. Unggul Sudarmo, M.Pd.>","","<27678><27679><27680><27681>"
"Kimia Erlangga Kelas XI (Peminatan) K-13","Text","KURIKULUM 2013","978-602-241-474-2","Penerbit Erlangga","2014","Kimia","","","Indonesia","jakarta","NONE","","","","<Drs. Unggul Sudarmo, M.Pd.>","","<27669><27670><27671><27672><27673><27674><27675><27676><27677>"
"Sejarah Indonesia Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-461-2","Penerbit Erlangga","2013","Sejarah Indonesia","","","Indonesia","jakarta","NONE","","","","<M. Adil><Rama Hapsari>","","<27647><27648><27649><27650><27651><27652><27653><27654><27655><27656><27657><27658><27659><27660><27661><27662><27663><27664><27665><27666><27667><27668>"
"Pathway To English Erlangga Kelas XI (Peminatan)","Text","KURIKULUM 2013","978-602-241-839-9","Penerbit Erlangga","2013","Bahasa Inggris","","","Indonesia","jakarta","NONE","","","","<Eudia Grace><Theresia M. Sudarwati>","","<27635><27636><27637><27638><27639><27640><27641><27642><27643><27644><27645><27646>"
"Pendidikan Agama Islam dan Budi Pekerti Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-689-0","Penerbit Erlangga","2013","Agama","","","Indonesia","jakarta","NONE","","","","<Drs. Sadi, M.S.I><Drs. H. M. Nasikin, M.Pd>","","<27599><27600><27601><27602><27603><27604><27605><27606><27607><27608><27609><27610><27611><27612><27613><27614><27615><27616><27617><27618><27619><27620><27621><27622><27623><27624><27625><27626><27627><27628><27629><27630><27631><27632><27633><27634>"
"Pathway To English Erlangga Kelas X (Peminatan)","Text","KURIKULUM 2013","978-602-298-126-8","Penerbit Erlangga","2013","Bahasa Inggris","","","Indonesia","jakarta","NONE","","","","<Eudia Grace><Theresia M. Sudarwati>","","<27582><27583><27584><27585><27586><27587><27588><27589><27590><27591><27592><27593><27594><27595><27596><27597><27598>"
"Fisika Erlangga Kelas XII K-13","Text","KURIKULUM 2013","978-602-241-467-4","Penerbit Erlangga","2015","Fisika","","","Indonesia","jakarta","NONE","","","","<Ir. Marthen Kanginan, M.Sc.>","","<27567><27566><27565><27564><27563><27562><27561><27560><27559><27558><27557><27556><27555><27568>"
"Fisika Erlangga Kelas XI K-13","Text","KURIKULUM 2013","978-602-241-466-7","Penerbit Erlangga","2014","Fisika","","","Indonesia","jakarta","NONE","","","","<Ir. Marthen Kanginan, M.Sc.>","","<27554><27553><27552><27551><27548><27549><27550>"
"Geografi Erlangga Kelas XII K-13","Text","KURIKULUM 2013","978-602-241-581-7","Penerbit Erlangga","2014","Geografi","","","Indonesia","jakarta","NONE","","","","<Drs. K. Wardiyatmoko, MM>","","<27529><27530><27531><27532><27533><27534><27535><27536><27537><27538><27539><27540><27541><27542><27543><27544><27545><27546>"
"Geografi Erlangga Kelas XI K-13","Text","KURIKULUM 2013","978-602-241-580-0","Penerbit Erlangga","2014","Geografi","","","Indonesia","jakarta","NONE","","","","<Drs. K. Wardiyatmoko, MM>","","<27523><27524><27525><27526><27527><27528>"
"Geografi Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-660-9","Penerbit Erlangga","2013","Geografi","","","Indonesia","jakarta","NONE","","","","<Drs. K. Wardiyatmoko, MM>","","<27495><27496><27497><27498><27499><27500><27501><27502><27503><27504><27505><27506><27507><27508><27509><27510><27511><27512><27513><27514><27515><27516><27517>"
"Kimia Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-298-838-0","Penerbit Erlangga","2016","Kimia","","","Indonesia","jakarta","NONE","","","","<Drs. Unggul Sudarno, M.Pd.>","","<27467><27468><27469><27470><27471><27472><27473><27474><27475><27476><27477><27478><27479><27480><27481><27482><27483><27484><27485><27486><27487><27488><27489><27490><27491><27492><27493><27494>"
"Cerdas Berbahasa Dan Bersastra Indonesia Erlangga Kelas XI K-13","Text","KURIKULUM 2013","978-602-298-016-2","Penerbit Erlangga","2014","Bahasa Indonesia","","","Indonesia","jakarta","NONE","","","","<Engkos Kosasih>","","<27450><27451><27452><27453><27454><27455><27456><27457><27458><27459><27460><27461><27462><27463><27464><27465><27466>"
"Biologi Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-469-8","Penerbit Erlangga","2013","Biologi","","","Indonesia","jakarta","NONE","","","","<Dra. Irnaningtyas, M.Pd.>","","<27416><27415><27414><27417><27418><27419><27420><27421><27422><27423><27424><27425><27426><27427><27428><27429><27430><27431><27432><27433><27434><27435><27436><27437><27438><27439><27440><27441><27442><27443><27444><27445><27446><27447><27448><27449><27518><27519><27520><27521><27522>"
"Pathway To English Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-652-4","Penerbit Erlangga","2013","Bahasa Inggris","","","Indonesia","jakarta","NONE","","","","<Eudia Grace><Th. M. Sudarwati>","","<27357><27358><27359><27360><27361><27362><27363><27364><27365><27366><27367><27368><27369><27370><27371><27372><27373><27374><27375><27376><27377><27378><27379><27380><27381><27382><27383><27384><27385><27386><27387><27388><27389><27390><27391><27392><27393><27394><27395><27396><27397><27398><27399><27400><27401><27402><27403><27404><27405><27406><27407><27408><27409><27410><27411><27412><27413><27569><27570><27571><27572><27573><27574><27575><27576><27577><27578><27579><27580><27581>"
"Fisika Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-465-0","Penerbit Erlangga","2013","Fisika","","","Indonesia","jakarta","NONE","","","","<Ir. Marthen Kanginan, M.Sc.>","","<27231><27232><27233><27234><27235><27236><27237><27238><27239><27240><27241><27242><27243><27244><27245><27246><27247><27248><27249><27250><27251><27252><27253><27254><27255><27256><27257><27258><27259><27260><27261><27262><27263><27264><27265><27266><27267><27268><27269><27270><27271><27272><27273><27274><27275><27276><27277><27278><27279><27280><27281><27282><27283><27284><27285><27286><27287><27288><27289><27290><27291><27292><27293><27294><27295><27296><27297><27298><27299><27300><27301><27302><27303><27547>"
"Kimia Erlangga Kelas X K-13","Text","KURIKULUM 2013","978-602-241-693-7","Penerbit Erlangga","2013","Kimia","","","Indonesia","jakarta","NONE","","","","<Drs. Unggul Sudarmo, M.Pd.>","","<27304><27305><27306><27307><27308><27309><27310><27311><27312><27313><27314><27315><27316><27317><27318><27319><27320><27321><27322><27323><27324><27325><27326><27327><27328><27329><27330><27331><27332><27333><27334><27335><27336><27337><27338><27339><27340><27341><27342><27343><27344><27345><27346><27347><27348><27349><27350><27351><27352><27353><27354><27355><27356>"
